Date;Adj Close;;;
01.06.2018;86,225;4,225;-1;83
02.06.2018;77,25;4,25;1;72
03.06.2018;85,275;4,275;-2;83
04.06.2018;97,3;4,3;5;88
05.06.2018;88,325;4,325;-2;86
06.06.2018;79,35;4,35;2;73
07.06.2018;87,375;4,375;5;78
08.06.2018;75,4;4,4;-2;73
09.06.2018;73,425;4,425;-1;70
10.06.2018;75,45;4,45;-2;73
11.06.2018;81,475;4,475;-4;81
12.06.2018;94,5;4,5;4;86
13.06.2018;84,525;4,525;-1;81
14.06.2018;82,55;4,55;-1;79
15.06.2018;97,575;4,575;-2;95
16.06.2018;80,6;4,6;-1;77
17.06.2018;96,625;4,625;4;88
18.06.2018;88,65;4,65;-4;88
19.06.2018;80,675;4,675;-3;79
20.06.2018;85,7;4,7;3;78
21.06.2018;80,725;4,725;-3;79
22.06.2018;81,75;4,75;3;74
23.06.2018;71,775;4,775;-3;70
24.06.2018;93,8;4,8;-3;92
25.06.2018;91,825;4,825;1;86
26.06.2018;83,85;4,85;4;75
27.06.2018;89,875;4,875;0;85
28.06.2018;93,9;4,9;-1;90
29.06.2018;97,925;4,925;1;92
30.06.2018;89,95;4,95;-3;88
01.07.2018;77,975;4,975;0;73
02.07.2018;86;5;3;78
03.07.2018;89,025;5,025;-2;86
04.07.2018;89,05;5,05;-1;85
05.07.2018;92,075;5,075;-3;90
06.07.2018;87,1;5,1;-2;84
07.07.2018;87,125;5,125;4;78
08.07.2018;73,15;5,15;-2;70
09.07.2018;84,175;5,175;3;76
10.07.2018;88,2;5,2;0;83
11.07.2018;101,225;5,225;2;94
12.07.2018;80,25;5,25;-2;77
13.07.2018;86,275;5,275;5;76
14.07.2018;98,3;5,3;2;91
15.07.2018;91,325;5,325;3;83
16.07.2018;83,35;5,35;4;74
17.07.2018;95,375;5,375;-4;94
18.07.2018;99,4;5,4;2;92
19.07.2018;85,425;5,425;-2;82
20.07.2018;74,45;5,45;-2;71
21.07.2018;99,475;5,475;4;90
22.07.2018;77,5;5,5;-3;75
23.07.2018;98,525;5,525;4;89
24.07.2018;89,55;5,55;1;83
25.07.2018;95,575;5,575;-1;91
26.07.2018;82,6;5,6;-1;78
27.07.2018;93,625;5,625;-2;90
28.07.2018;93,65;5,65;2;86
29.07.2018;96,675;5,675;-4;95
30.07.2018;95,7;5,7;-4;94
31.07.2018;96,725;5,725;5;86
01.08.2018;95,75;5,75;5;85
02.08.2018;92,775;5,775;0;87
03.08.2018;89,8;5,8;2;82
04.08.2018;87,825;5,825;5;77
05.08.2018;103,85;5,85;4;94
06.08.2018;77,875;5,875;-3;75
07.08.2018;87,9;5,9;-1;83
08.08.2018;88,925;5,925;-1;84
09.08.2018;80,95;5,95;-4;79
10.08.2018;87,975;5,975;5;77
11.08.2018;90;6;3;81
12.08.2018;93,025;6,025;3;84
13.08.2018;91,05;6,05;1;84
14.08.2018;82,075;6,075;3;73
15.08.2018;77,1;6,1;0;71
16.08.2018;81,125;6,125;-4;79
17.08.2018;84,15;6,15;-4;82
18.08.2018;78,175;6,175;-2;74
19.08.2018;94,2;6,2;-4;92
20.08.2018;90,225;6,225;0;84
21.08.2018;84,25;6,25;0;78
22.08.2018;84,275;6,275;2;76
23.08.2018;82,3;6,3;5;71
24.08.2018;83,325;6,325;-1;78
25.08.2018;97,35;6,35;-1;92
26.08.2018;87,375;6,375;-4;85
27.08.2018;82,4;6,4;5;71
28.08.2018;78,425;6,425;0;72
29.08.2018;97,45;6,45;3;88
30.08.2018;77,475;6,475;0;71
31.08.2018;82,5;6,5;-4;80
01.09.2018;92,525;6,525;5;81
02.09.2018;91,55;6,55;-1;86
03.09.2018;96,575;6,575;1;89
04.09.2018;94,6;6,6;2;86
05.09.2018;83,625;6,625;-1;78
06.09.2018;92,65;6,65;4;82
07.09.2018;81,675;6,675;-3;78
08.09.2018;86,7;6,7;-1;81
09.09.2018;86,725;6,725;-4;84
10.09.2018;89,75;6,75;5;78
11.09.2018;81,775;6,775;0;75
12.09.2018;76,8;6,8;0;70
13.09.2018;73,825;6,825;-4;71
14.09.2018;105,85;6,85;4;95
15.09.2018;81,875;6,875;0;75
16.09.2018;87,9;6,9;2;79
17.09.2018;91,925;6,925;3;82
18.09.2018;78,95;6,95;-2;74
19.09.2018;93,975;6,975;0;87
20.09.2018;95;7;0;88
21.09.2018;77,025;7,025;-3;73
22.09.2018;84,05;7,05;3;74
23.09.2018;78,075;7,075;-3;74
24.09.2018;88,1;7,1;2;79
25.09.2018;83,125;7,125;-1;77
26.09.2018;78,15;7,15;-2;73
27.09.2018;85,175;7,175;5;73
28.09.2018;88,2;7,2;2;79
29.09.2018;85,225;7,225;-1;79
30.09.2018;85,25;7,25;-1;79
01.10.2018;80,275;7,275;-4;77
02.10.2018;75,3;7,3;-2;70
03.10.2018;87,325;7,325;5;75
04.10.2018;104,35;7,35;3;94
05.10.2018;77,375;7,375;-3;73
06.10.2018;91,4;7,4;5;79
07.10.2018;83,425;7,425;3;73
08.10.2018;83,45;7,45;-3;79
09.10.2018;100,475;7,475;2;91
10.10.2018;83,5;7,5;-1;77
11.10.2018;91,525;7,525;-3;87
12.10.2018;84,55;7,55;4;73
13.10.2018;103,575;7,575;3;93
14.10.2018;76,6;7,6;-4;73
15.10.2018;94,625;7,625;-1;88
16.10.2018;100,65;7,65;0;93
17.10.2018;102,675;7,675;5;90
18.10.2018;102,7;7,7;5;90
19.10.2018;86,725;7,725;5;74
20.10.2018;82,75;7,75;1;74
21.10.2018;86,775;7,775;-3;82
22.10.2018;92,8;7,8;3;82
23.10.2018;76,825;7,825;-3;72
24.10.2018;102,85;7,85;1;94
25.10.2018;102,875;7,875;3;92
26.10.2018;97,9;7,9;3;87
27.10.2018;100,925;7,925;5;88
28.10.2018;95,95;7,95;0;88
29.10.2018;74,975;7,975;-4;71
30.10.2018;79;8;-2;73
31.10.2018;78,025;8,025;-2;72
01.11.2018;108,05;8,05;5;95
02.11.2018;91,075;8,075;5;78
03.11.2018;95,1;8,1;-1;88
04.11.2018;81,125;8,125;-1;74
05.11.2018;79,15;8,15;-4;75
06.11.2018;94,175;8,175;2;84
07.11.2018;97,2;8,2;-2;91
08.11.2018;84,225;8,225;1;75
09.11.2018;80,25;8,25;0;72
10.11.2018;84,275;8,275;-2;78
11.11.2018;93,3;8,3;2;83
12.11.2018;87,325;8,325;5;74
13.11.2018;86,35;8,35;-4;82
14.11.2018;94,375;8,375;5;81
15.11.2018;93,4;8,4;4;81
16.11.2018;90,425;8,425;0;82
17.11.2018;92,45;8,45;5;79
18.11.2018;95,475;8,475;0;87
19.11.2018;94,5;8,5;-3;89
20.11.2018;100,525;8,525;4;88
21.11.2018;103,55;8,55;5;90
22.11.2018;88,575;8,575;-3;83
23.11.2018;95,6;8,6;2;85
24.11.2018;84,625;8,625;-1;77
25.11.2018;78,65;8,65;-2;72
26.11.2018;88,675;8,675;-4;84
27.11.2018;87,7;8,7;2;77
28.11.2018;83,725;8,725;-3;78
29.11.2018;89,75;8,75;-4;85
30.11.2018;97,775;8,775;0;89
01.12.2018;89,8;8,8;0;81
02.12.2018;83,825;8,825;1;74
03.12.2018;89,85;8,85;1;80
04.12.2018;90,875;8,875;1;81
05.12.2018;107,9;8,9;5;94
06.12.2018;89,925;8,925;-1;82
07.12.2018;93,95;8,95;4;81
08.12.2018;94,975;8,975;-1;87
09.12.2018;100;9;-4;95
10.12.2018;95,025;9,025;-2;88
11.12.2018;90,05;9,05;3;78
12.12.2018;104,075;9,075;3;92
13.12.2018;96,1;9,1;-4;91
14.12.2018;93,125;9,125;3;81
15.12.2018;94,15;9,15;2;83
16.12.2018;95,175;9,175;-4;90
17.12.2018;96,2;9,2;-3;90
18.12.2018;104,225;9,225;2;93
19.12.2018;93,25;9,25;-3;87
20.12.2018;102,275;9,275;0;93
21.12.2018;95,3;9,3;-3;89
22.12.2018;83,325;9,325;3;71
23.12.2018;103,35;9,35;2;92
24.12.2018;103,375;9,375;4;90
25.12.2018;99,4;9,4;5;85
26.12.2018;96,425;9,425;3;84
27.12.2018;93,45;9,45;-3;87
28.12.2018;98,475;9,475;4;85
29.12.2018;102,5;9,5;-1;94
30.12.2018;93,525;9,525;3;81

